Rank,Rating,Name,Class,Server,Win_Loss,Win_Perc
415,2912,Nuriloria,DeathKnight,Firemaw,327 - 272,55%
421,2911,Десмх,Mage,Flamegor,366 - 237,61%
421,2911,Saydòn,Warrior,Sulfuron,197 - 155,56%
421,2911,Alëx,Warrior,Sulfuron,219 - 174,56%
421,2911,Shourz,Shaman,Mandokir,244 - 195,56%
421,2911,Shåmssl,Warlock,Firemaw,219 - 180,55%
421,2911,Saydón,Warrior,Sulfuron,395 - 326,55%
421,2911,Methodx,Paladin,Mandokir,472 - 390,55%
421,2911,Àbs,DeathKnight,Sulfuron,285 - 244,54%
421,2911,Rhzz,Priest,Sulfuron,325 - 283,53%
421,2911,Ðaio,Rogue,Sulfuron,660 - 587,53%
421,2911,Маленкость,Paladin,Flamegor,843 - 826,51%
432,2910,Irathaa,Paladin,Earthshaker,283 - 221,56%
432,2910,Nexolez,Warrior,Earthshaker,562 - 467,55%
432,2910,Erossj,Priest,Sulfuron,388 - 327,54%
432,2910,Jimos,Paladin,Firemaw,381 - 323,54%
432,2910,Somethingx,Paladin,Firemaw,331 - 290,53%
432,2910,Dzz,Druid,Lakeshire,332 - 297,53%
432,2910,Dluv,Priest,Lakeshire,332 - 297,53%
432,2910,Жмяка,Priest,Flamegor,369 - 341,52%
440,2909,Rullepapir,Shaman,Firemaw,399 - 314,56%
